SUPPLIER_PART_NUMBER	MANUFACTURER_NAME	MANUFACTURER_PART_NUMBER	SHORT_DESCRIPTION	LONG_DESCRIPTION	NOTES_COMMENTS	CATEGORY_OF_PRODUCT_1	CATEGORY_OF_PRODUCT_2	CATEGORY_OF_PRODUCT_3	RESELLER_BUY_EX	RRP_EX	GOV_BUY_EX	GOV_RETAIL_EX	RESELLER_BUY_INC	RRP_INC	GOV_BUY_INC	GOV_RETAIL_INC	SERIALIZED	AVAILABILITY_M	AVAILABILITY_S	EOR_MARKER	WEIGHT	HEIGHT	WIDTH	LENGTH	TOTAL_AVAILABILITY	EAN	UPC	APN	G_Code	MOQ	MOQ_TYPE
10GAI9901(STREAM-DECK-MINI)	Corsair	10GAI9901	Elgato Stream Deck Mini - Live Content Creation Controller with 6 customizable LCD keys	Elgato Stream Deck Mini - Live Content Creation Controller with 6 customizable LCD keys		Game Console - Controller & Accessory			74.00	90.00			81.40	99.00			NO	0	0	EOR	0.310	6	8.4	5.8	0	4260195391710	813180020658	0813180020658	Y5207	1	Minimum Order Quantity
11348-01-20G(RX9070XT-NITRO+-16G)	Sapphire	11348-01-20G	SAPPHIRE NITRO+ AMD RADEON RX 9070 XT GAMING OC 16GB DUAL HDMI / DUAL DP	SAPPHIRE NITRO+ AMD RADEON RX 9070 XT GAMING OC 16GB DUAL HDMI / DUAL DP		Graphics Card			1099.00	1271.82			1208.90	1399.00			NO	0	497	EOR	2.660	20	20	30	497			4895106295872	DA00017026	1	Minimum Order Quantity
11348-02-20G(RX9070XT-PURE-16G)	Sapphire	11348-02-20G	SAPPHIRE PURE AMD RADEON RX 9070 XT GAMING OC 16GB DUAL HDMI / DUAL DP	SAPPHIRE PURE AMD RADEON RX 9070 XT GAMING OC 16GB DUAL HDMI / DUAL DP		Graphics Card			999.00	1226.36			1098.90	1349.00			NO	0	144	EOR	1.820	20	20	30	144			4895106295896	DA00017027	1	Minimum Order Quantity
11348-03-20G(RX9070XT-PULSE-16G)	Sapphire	11348-03-20G	SAPPHIRE PULSE AMD RADEON RX 9070 XT GAMING 16GB DUAL HDMI / DUAL DP	SAPPHIRE PULSE AMD RADEON RX 9070 XT GAMING 16GB DUAL HDMI / DUAL DP		Graphics Card			959.00	1180.91			1054.90	1299.00			NO	0	650	EOR	1.790	20	20	30	650			4895106295919	DA00017028	1	Minimum Order Quantity
11350-01-20G (RX9060XT-NITRO-16G)	Sapphire	11350-01-20G	SAPPHIRE NITRO+ AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP	SAPPHIRE NITRO+ AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP		Graphics Card			630.00	817.27			693.00	899.00			NO	0	214	EOR	1.640	20	30	40	214	4895106296619		4895106296619	DA00020852	1	Minimum Order Quantity
11350-02-20G (RX9060XT-PURE-16G)	Sapphire	11350-02-20G	SAPPHIRE PURE AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP	SAPPHIRE PURE AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP		Graphics Card			575.00	744.55			632.50	819.00			NO	0	448	EOR	0.950	20	30	40	448	4895106296442		4895106296442	DA00020853	1	Minimum Order Quantity
11350-03-20G (RX9060XT-PULSE-16G)	Sapphire	11350-03-20G	SAPPHIRE PULSE AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP	SAPPHIRE PULSE AMD RADEON RX 9060 XT GAMING OC 16GB DUAL HDMI / DP		Graphics Card			565.00	726.36			621.50	799.00			NO	0	0	EOR	0.920	20	30	40	0	4895106296381		4895106296381	DA00020854	1	Minimum Order Quantity
15M-CABLE	Starlink	4851100	STANDARD STARLINK CABLE 15M FOR STANDARD KIT (LATEST GENERATION)	STANDARD STARLINK CABLE 15M FOR STANDARD KIT (LATEST GENERATION)		Network & Firewall - Accessory			120.72	135.45			132.79	149.00			NO	0	0	EOR	0.780	5	13.5	36	0		850049670258	0850049670258	DA00005878	1	Minimum Order Quantity
15U50T-G.AR55A	LG	15U50T-G.AR55A	"LG GramBook,15.6""IPS,16:9,FHD(1920x1080),I5-1334U,8GBDDR4,512GBSSD(M.2),WiFi-6,BT5.2,HDCam,Spk(2x1.5w),USB2.0x1,USB3.2x1,USB-Cx2,HDMI,Win11H,1yrRTB"	"LG GramBook,15.6""IPS,16:9,FHD(1920x1080),I5-1334U,8GBDDR4,512GBSSD(M.2),WiFi-6,BT5.2,HDCam,Spk(2x1.5w),USB2.0x1,USB3.2x1,USB-Cx2,HDMI,Win11H,1yrRTB"		Notebook - Commercial			924.16	1140.91			1016.58	1255.00			NO	98	137	EOR	2.650	1.94	23.78	35.98	235	8806096368664	8806096368664	8806096368664	DA00021085	1	Minimum Order Quantity
16MR70.ASDA	LG	16MR70.ASDA	"LG 16""+ PORTABLE MONITOR, 16:10,IPS,WQXGA (2560x1600),2xUSB-C  Anti-glare,DCI-P3 99%, 350cd/?, WTY 1Y"	"LG 16""+ PORTABLE MONITOR, 16:10,IPS,WQXGA (2560x1600),2xUSB-C  Anti-glare,DCI-P3 99%, 350cd/?, WTY 1Y"		Monitor			360.75	453.64			396.82	499.00			NO	2	10	EOR	1.750	0.83	24.55	36	12	8806084175526	8806084175526	8806084175526	c5434	1	Minimum Order Quantity
1E4-00005	Microsoft - Commercial	1E4-00005	Surface USB-C Travel Hub Commercial	Surface USB-C Travel Hub Commercial		Notebook Accessory - Commercial			114.84	159.95			126.32	175.95			NO	0	0	EOR	0.150	2.5	5.3	17.2	0	889842635096	889842635096	0889842635096	R3694	1	Minimum Order Quantity
1E7D6UT	HP System - Commercial	1E7D6UT	HP Prelude 15.6 Backpack (Replaces 1E7D6AA)	HP Prelude 15.6 Backpack (Replaces 1E7D6AA)		Notebook Accessory - Commercial			21.50	29.00			23.65	31.90			NO	249	22	EOR	0.420	30.8	3.8	26.5	271		195122283681	0195122283681	DA00006713	1	Minimum Order Quantity
1E7D7AA	HP System - Commercial	1E7D7AA	HP Prelude 15.6 Top Load	HP Prelude 15.6 Top Load		Notebook Accessory - Commercial			14.50	19.00			15.95	20.90			NO	90	134	EOR	0.330	40	6	28.5	224	195122282776	195122282776	0195122282776	b7626	1	Minimum Order Quantity
1M0Q0A(Fax)	HP - Print	1M0Q0A	HP MFP Analog Fax 702 Accessory	HP MFP Analog Fax 702 Accessory		Printer & Scanner - Label Printer / Large Format / Accessory			185.57	584.89			204.13	643.38			NO	0	3	EOR	0.550	11	20	29.5	3	0197029345325	0197029345325	0197029345325	c6969	1	Minimum Order Quantity
1P3K6AA	HP System - Commercial	1P3K6AA	HP 65W USB-C LC Power Adapter	HP 65W USB-C LC Power Adapter		Notebook Accessory - Commercial			29.75	39.00			32.72	42.90			NO	94	283	EOR	0.410	9	2.85	5.1	377	195122442989	195122442989	0195122442989	b2768	1	Minimum Order Quantity
1VU26AA	HP - Print	1VU26AA	HP31 Cyan Original Ink Bottle	HP31 Cyan Original Ink Bottle		Print Consumable - Inkjet Cartridges			18.87	22.79			20.76	25.07			NO	0	14	EOR	0.120	15	4.7	4.7	14	191628455300	191628455300	0191628455300	G0337	1	Minimum Order Quantity
1VU27AA	HP - Print	1VU27AA	HP31 Magenta Original Ink Bottle	HP31 Magenta Original Ink Bottle		Print Consumable - Inkjet Cartridges			18.87	22.79			20.76	25.07			NO	0	28	EOR	0.120	15	4.7	4.7	28	191628455317	191628455317	0191628455317	G0338	1	Minimum Order Quantity
1VU28AA	HP - Print	1VU28AA	HP31 Yellow Original Ink Bottle	HP31 Yellow Original Ink Bottle		Print Consumable - Inkjet Cartridges			18.87	22.79			20.76	25.07			NO	0	23	EOR	0.120	15	4.7	4.7	23	191628455324	191628455324	0191628455324	G0339	1	Minimum Order Quantity
1WC36AA	HP System - Commercial	1WC36AA	HP USB-C to HDMI 2.0 Adapter	HP USB-C to HDMI 2.0 Adapter		Notebook Accessory - Commercial			26.50	35.00			29.15	38.50			NO	0	0	EOR	0.040	7	10	17	0	190781926740	190781926740	0190781926740	H0445	1	Minimum Order Quantity
1X644AA	HP System - Commercial	1X644AA	"HP Prelude Pro Recycle 15.6"" Backpack"	"HP Prelude Pro Recycle 15.6"" Backpack"		Notebook Accessory - Commercial			34.00	45.00			37.40	49.50			NO	77	0	EOR	0.480	41.75	22.7	52.54	77	194850442308	194850442308	0194850442308	R3194	1	Minimum Order Quantity
1X645AA	HP System - Commercial	1X645AA	"HP Prelude Pro Recycle 15.6"" Top Load"	"HP Prelude Pro Recycle 15.6"" Top Load"		Notebook Accessory - Commercial			27.00	35.00			29.70	38.50			NO	478	28	EOR	0.500	40.64	6.98	28.57	506	194850442315	194850442315	0194850442315	R3195	1	Minimum Order Quantity
1Y4D0UT	HP System - Commercial	1Y4D0UT	HP 235 WL Mouse and Keyboard Combo (Replaces 1Y4D0AA)	HP 235 WL Mouse and Keyboard Combo (Replaces 1Y4D0AA)		Desktop PC Accessory - Commercial			35.40	45.00			38.94	49.50			NO	990	1443	EOR	0.810	4.4	22	45.6	2433	198122958986	198122958986	0198122958986	DA00006711	1	Minimum Order Quantity
240J7AA	HP System - Commercial	240J7AA	HP 150 Wired Mouse and Keyboard	HP 150 Wired Mouse and Keyboard		Desktop PC Accessory - Commercial			18.90	22.68			20.79	24.95			NO	149	14	EOR	0.780	18.8	43	52.1	163	195122875589	195122875589	0195122875589	a5548	1	Minimum Order Quantity
