"PartNumber","Description","Details","Unit","Cost_EX_GST","GST_Rate","Qty","Introduced","Clearance","Manufacturer","Category","Group","SupplierPartNumber","NSW_Qty","VIC_Qty","QLD_Qty","SA_Qty","WA_Qty","Weight","Volume","Product_Image","RRP_Ex_GST"
"42GUEETS0012M","42Gears SureMDM Enterprise - SaaS Annual Subscription","42Gears SureMDM Enterprise - SaaS Annual Subscription","Each",46.67,10.00,0,"2024-12-04","N","42 Gears","Mobility","42Gears Licensing","UEETS0012M",0,0,0,0,0,0,0,"https://www2.bluechipit.com.au/Products/images/42GUEETS0012M.png",72.13
"42GUEETS0036M","42Gears SureMDM Enterprise - SaaS Three Year Subscription","42Gears SureMDM Enterprise - SaaS Three Year Subscription","Each",126.02,10.00,0,"2024-12-04","N","42 Gears","Mobility","42Gears Licensing","UEETS0036M",0,0,0,0,0,0,0,"https://www2.bluechipit.com.au/Products/images/42GUEETS0036M.png",194.75
"42GUEETS0060M","42Gears SureMDM Enterprise - SaaS Five Year Subscription","42Gears SureMDM Enterprise - SaaS Five Year Subscription","Each",205.36,10.00,0,"2024-12-04","N","42 Gears","Mobility","42Gears Licensing","UEETS0060M",0,0,0,0,0,0,0,"https://www2.bluechipit.com.au/Products/images/42GUEETS0060M.png",317.38
"42GUEPMS0012M","42Gears SureMDM Premium - SaaS Annual Subscription","42Gears SureMDM Premium - SaaS Annual Subscription","Each",33.94,10.00,0,"2024-10-27","N","42 Gears","Mobility","42Gears Licensing","UEPMS0012M",0,0,0,0,0,0,0,"https://www2.bluechipit.com.au/Products/images/42GUEPMS0012M.png",52.46
"42GUEPMS0036M","42Gears SureMDM Premium - SaaS Three Year Subscription","42Gears SureMDM Premium - SaaS Three Year Subscription","Each",91.65,10.00,0,"2024-12-04","N","42 Gears","Mobility","42Gears Licensing","UEPMS0036M",0,0,0,0,0,0,0,"https://www2.bluechipit.com.au/Products/images/42GUEPMS0036M.png",141.64
"42GUEPMS0060M","42Gears SureMDM Premium - SaaS Five Year Subscription","42Gears SureMDM Premium - SaaS Five Year Subscription","Each",149.35,10.00,0,"2024-12-04","N","42 Gears","Mobility","42Gears Licensing","UEPMS0060M",0,0,0,0,0,0,0,"https://www2.bluechipit.com.au/Products/images/42GUEPMS0060M.png",230.82
"42GUESDS0012M","42Gears SureMDM Standard - SaaS Annual Subscription","42Gears SureMDM Standard - SaaS Annual Subscription","Each",24.40,10.00,0,"2024-12-04","N","42 Gears","Mobility","42Gears Licensing","UESDS0012M",0,0,0,0,0,0,0,"https://www2.bluechipit.com.au/Products/images/42GUESDS0012M.png",37.70
"42GUESDS0036M","42Gears SureMDM Standard - SaaS Three Year Subscription","42Gears SureMDM Standard - SaaS Three Year Subscription","Each",65.88,10.00,0,"2024-12-04","N","42 Gears","Mobility","42Gears Licensing","UESDS0036M",0,0,0,0,0,0,0,"https://www2.bluechipit.com.au/Products/images/42GUESDS0036M.png",101.80
"42GUESDS0060M","42Gears SureMDM Standard - SaaS Five Year Subscription","42Gears SureMDM Standard - SaaS Five Year Subscription","Each",107.35,10.00,0,"2024-12-04","N","42 Gears","Mobility","42Gears Licensing","UESDS0060M",0,0,0,0,0,0,0,"https://www2.bluechipit.com.au/Products/images/42GUESDS0060M.png",165.90
"AC10110Y","ALTOS P130 F9 Tower i7-14700K/32GB(2x16G)/1TB/W11P/RTX-5060-8GB GDDR7 (3xDP+1xHDMI)/1P 1GbE/WiFi6E+BT5.3/USB KB+MSE/750W-80PLUS GOLD PSU/3 YRS NBD Onsite","ALTOS P130 F9 Tower i7-14700K/32GB(2x16G)/1TB/W11P/RTX-5060-8GB GDDR7 (3xDP+1xHDMI)/1P 1GbE/WiFi6E+BT5.3/USB KB+MSE/750W-80PLUS GOLD PSU/3 YRS NBD Onsite - UD.L0RSA.00X-DE1","Each",2590.00,10.00,5,"2026-03-11","N","Acer","Networking","Acer Server & Storage","UD.L0RSA.00X-DE1",5,0,0,0,0,15,0.105,"https://www2.bluechipit.com.au/Products/images/AC.png",
